2025-12-25 01:44:46 | INFO     |  app:219 | 日志系统已初始化
2025-12-25 01:44:46 | INFO     |  app:220 | 日志文件: /Users/zane/Project/360/万相/backend/logs/api_20251225.log
2025-12-25 01:46:23 | INFO     |  app:219 | 日志系统已初始化
2025-12-25 01:46:23 | INFO     |  app:220 | 日志文件: /Users/zane/Project/360/万相/backend/logs/api_20251225.log
2025-12-25 01:47:04 | INFO     |  app:219 | 日志系统已初始化
2025-12-25 01:47:04 | INFO     |  app:220 | 日志文件: /Users/zane/Project/360/万相/backend/logs/api_20251225.log
2025-12-25 01:47:35 | INFO     | [zj] oss2.api:1410 | Start to delete object, bucket: qingshui-siemens, key: aistudio/.connection_test
2025-12-25 02:01:36 | INFO     | [qingshui] print:194 | [文生图HTTP] 发送请求到: https://dashscope.aliyuncs.com/api/v1/services/aigc/multimodal-generation/generation
2025-12-25 02:01:36 | INFO     | [qingshui] print:194 | [文生图HTTP] 模型: wan2.6-t2i, 尺寸: 1440*810, 数量: 1
2025-12-25 02:01:36 | INFO     | [qingshui] print:194 | [文生图HTTP] 提示词: 角色三视图，同一画面内从左到右依次展示：正面视角（面向镜头）、侧面视角（面向右侧）、背面视角（背对镜头），三个视角的角色服装和外观完全一致，白色纯净背景，专业角色设计参考图, 全身人物立绘，纯白色背景...
2025-12-25 02:01:36 | INFO     | [qingshui] print:194 | [文生图HTTP] 发送请求到: https://dashscope.aliyuncs.com/api/v1/services/aigc/multimodal-generation/generation
2025-12-25 02:01:36 | INFO     | [qingshui] print:194 | [文生图HTTP] 模型: wan2.6-t2i, 尺寸: 1440*810, 数量: 1
2025-12-25 02:01:36 | INFO     | [qingshui] print:194 | [文生图HTTP] 提示词: 角色三视图，同一画面内从左到右依次展示：正面视角（面向镜头）、侧面视角（面向右侧）、背面视角（背对镜头），三个视角的角色服装和外观完全一致，白色纯净背景，专业角色设计参考图, 全身人物立绘，纯白色背景...
2025-12-25 02:01:36 | INFO     | [qingshui] print:194 | [文生图HTTP] 发送请求到: https://dashscope.aliyuncs.com/api/v1/services/aigc/multimodal-generation/generation
2025-12-25 02:01:36 | INFO     | [qingshui] print:194 | [文生图HTTP] 模型: wan2.6-t2i, 尺寸: 1440*810, 数量: 1
2025-12-25 02:01:36 | INFO     | [qingshui] print:194 | [文生图HTTP] 提示词: 角色三视图，同一画面内从左到右依次展示：正面视角（面向镜头）、侧面视角（面向右侧）、背面视角（背对镜头），三个视角的角色服装和外观完全一致，白色纯净背景，专业角色设计参考图, 全身人物立绘，纯白色背景...
2025-12-25 02:02:08 | INFO     | [qingshui] print:194 | [文生图HTTP] 响应状态码: 200
2025-12-25 02:02:08 | INFO     | [qingshui] print:194 | [文生图HTTP] 响应: request_id=0aff2c12-f0b6-408d-806d-21fc757e922a
2025-12-25 02:02:08 | INFO     | [qingshui] print:194 | [文生图HTTP] 成功生成 1 张图片
2025-12-25 02:02:09 | INFO     | [qingshui] print:194 | [文生图HTTP] 响应状态码: 200
2025-12-25 02:02:09 | INFO     | [qingshui] print:194 | [文生图HTTP] 响应: request_id=ec037f17-f4ee-4eb9-aa12-11ba50148d09
2025-12-25 02:02:09 | INFO     | [qingshui] print:194 | [文生图HTTP] 成功生成 1 张图片
2025-12-25 02:02:10 | INFO     | [qingshui] print:194 | [文生图HTTP] 响应状态码: 200
2025-12-25 02:02:10 | INFO     | [qingshui] print:194 | [文生图HTTP] 响应: request_id=475f46a4-706b-4e60-9f2e-bf2189bc3c18
2025-12-25 02:02:10 | INFO     | [qingshui] print:194 | [文生图HTTP] 成功生成 1 张图片
2025-12-25 02:02:36 | INFO     | [qingshui] print:194 | [文生图HTTP] 发送请求到: https://dashscope.aliyuncs.com/api/v1/services/aigc/multimodal-generation/generation
2025-12-25 02:02:36 | INFO     | [qingshui] print:194 | [文生图HTTP] 模型: wan2.6-t2i, 尺寸: 1440*810, 数量: 1
2025-12-25 02:02:36 | INFO     | [qingshui] print:194 | [文生图HTTP] 提示词: 空镜头场景，无人物，无道具，环境概念设计，高清画质，电影感，专业摄影，宽屏构图, 室外郊野山坡，开阔草地覆盖地面，远处为起伏的连绵山丘，数棵盛开粉色花朵的樱花树点缀其间，自然地形略有起伏，阳光充足，整...
2025-12-25 02:02:36 | INFO     | [qingshui] print:194 | [文生图HTTP] 发送请求到: https://dashscope.aliyuncs.com/api/v1/services/aigc/multimodal-generation/generation
2025-12-25 02:02:36 | INFO     | [qingshui] print:194 | [文生图HTTP] 模型: wan2.6-t2i, 尺寸: 1440*810, 数量: 1
2025-12-25 02:02:36 | INFO     | [qingshui] print:194 | [文生图HTTP] 提示词: 空镜头场景，无人物，无道具，环境概念设计，高清画质，电影感，专业摄影，宽屏构图, 室外郊野山坡，开阔草地覆盖地面，远处为起伏的连绵山丘，数棵盛开粉色花朵的樱花树点缀其间，自然地形略有起伏，阳光充足，整...
2025-12-25 02:02:36 | INFO     | [qingshui] print:194 | [文生图HTTP] 发送请求到: https://dashscope.aliyuncs.com/api/v1/services/aigc/multimodal-generation/generation
2025-12-25 02:02:36 | INFO     | [qingshui] print:194 | [文生图HTTP] 模型: wan2.6-t2i, 尺寸: 1440*810, 数量: 1
